commodity,n_months,mean_index,std_index,mean_mom_change,std_mom_change,median_usdprice,cv_index
Beras,123,3400.5635291646254,71996.91453885492,47.00178991731642,495.1197028567011,1.02,21.172053961462534
Gula,123,1438.391844164764,25543.34088052497,1.4228219897939736,18.968606805332076,0.94,17.75826314932793
Garam,123,972.2895277052513,13739.464663510564,4.60835061276892,72.99621211231512,0.425,14.131042525921014
Tepung jagung,123,3882.4427475539824,53320.917427117514,9.943060601276438,316.8423455468496,0.8300000000000001,13.733858010066156
Kacang merah bintik,121,3035.9301624121044,16871.284062196777,6.279673199425909,65.66284027918684,1.13,5.55720427007195
Ubi,123,168.1293057094531,837.0081137693722,148.87288167175763,1137.8558031438747,1.19,4.978359425428302
Lentil,123,163.74541278028298,664.2002140663111,49.65791490060694,703.635335673209,1.7675,4.056298144715351
Tepung terigu,123,426.36305113924413,1660.9511835286928,16.153364770503778,281.18670565428107,0.765,3.8956264598694075
Jagung kuning,121,262.3303656909971,987.78740972337,177.1069170696189,972.5894283215881,0.565,3.7654329765502625
Jagung,123,194.8821247016134,684.6062974891223,77.80376721847024,669.8284241562926,0.43499999999999994,3.512925049115367
Kentang Irlandia,122,492.9770306692711,1692.3595184784267,25.702935875523973,334.5823061369518,0.8500000000000001,3.4329378717317938
Gandum,123,192.44454972420738,610.6517177588761,31.81442958831948,451.31471638349007,0.46,3.1731307466696363
Sorgum,123,394.66274474072287,1123.8864831365076,65.30641603542688,603.2366134864014,0.64,2.8477136444050597
Bawang merah,123,117.05422920607265,333.22057252623756,12.059408400177459,351.84890885053187,0.74,2.8467196340219925
Jagung putih,122,176.5411568179034,474.33002120904155,68.88969869777901,591.9072857316108,0.505,2.6867957011196992
Kacang merah,123,588.6087819481338,1506.538482962809,148.74418994265054,863.4055153728044,4.79,2.5594903256057093
Beras butir sedang,121,882.1139324056152,2204.566356270587,121.64770249473517,726.7145325479601,0.9299999999999999,2.499185507997259
Wortel,122,266.53402096762306,651.4964863946341,6.212365281781831,115.47255072242255,0.7324999999999999,2.4443276848090396
Kacang,123,128.6707412220973,313.0673029775389,14.862362661541846,259.7453780607851,1.24,2.433088517281147
